site_name,site_id,buffer_m,year,image_count,qa_flag,mean_ndvi,mean_ndmi,mean_ndbi,mean_ndti,mean_savi,mean_bsi,bare_pct,mining_soil_pct,non_mining_soil_pct,valid_px_pct
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1984,4,ok,0.2904081591815993,-0.10493545776709455,0.10493545776709455,0.13725105690422604,0.1933423826866985,0.16259335021039442,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1985,8,ok,0.3542847207680186,-0.09785369771883445,0.09785369771883445,0.1230177374065712,0.21782921333558278,0.15092352787033864,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1986,8,ok,0.397355801542984,-0.10721800673572254,0.10721800673572254,0.09770171604763998,0.22634364350789385,0.14662754076178214,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1989,9,ok,0.3550110224517399,-0.0825000386947891,0.0825000386947891,0.10321711190578485,0.221574934018037,0.1326263429946829,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1990,2,ok,0.3065713047941919,-0.08584039009506073,0.08584039009506073,0.11414828009349953,0.20351942096582343,0.13774464385574892,0.0,0.0,83.21291352915712,83.21291352915712
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1991,5,ok,0.574754200034989,0.12058185358367864,-0.12058185358367864,-0.004717707429475329,0.34843510521940546,-0.0570433382369411,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1992,10,ok,0.31012082093985127,-0.11498397472894592,0.11498397472894592,0.11565605810736916,0.1924406868690308,0.16053305539775917,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1993,15,ok,0.3723695229360312,-0.0790492803652471,0.0790492803652471,0.11110488768235881,0.2292782696097079,0.13514912013481636,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1994,15,ok,0.41317659544902974,-0.040557333201094344,0.040557333201094344,0.07146678166316862,0.24602918040067,0.08649297311776807,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1995,15,ok,0.3889330251449703,-0.0732171690569122,0.0732171690569122,0.0955940163231404,0.22926098137639042,0.12473425249933573,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1996,15,ok,0.3946283513432602,-0.07025547200690561,0.07025547200690561,0.09060813340222744,0.2304206400721546,0.11078651692079304,0.0,0.0,99.60863634654541,99.60863634654541
Divisadero Mine,Divisadero Mine_0000000000000000001d,1000,1997,15,ok,0.36266356127506544,-0.08034487056192792,0.08034487056192792,0.09637849053780642,0.2175934141481251,0.12704569681915806,0.0,0.0,99.60863634654541,99.60863634654541
