site_name,buffer_m,metric,n_years,start_year,end_year,start_value,end_value,abs_change,pct_change,ols_slope_per_year,theil_sen_slope_per_year,direction_ols,direction_theil_sen
Divisadero Mine,1000,mean_ndvi,40,1984,2025,0.2904081591815993,0.6143920076922579,0.3239838485106586,111.56155165325903,0.005118803133801634,0.005383396550295577,increasing,increasing
Divisadero Mine,1000,mean_ndmi,40,1984,2025,-0.10493545776709455,0.05787156931075729,0.16280702707785183,155.14968013881818,0.003009650359966114,0.003199790316802902,increasing,increasing
Divisadero Mine,1000,mean_ndbi,40,1984,2025,0.10493545776709455,-0.05787156931075729,-0.16280702707785183,-155.14968013881818,-0.003009650359966114,-0.003199790316802902,decreasing,decreasing
Divisadero Mine,1000,mean_ndti,40,1984,2025,0.13725105690422604,0.03433746282172371,-0.10291359408250234,-74.98200480475394,-0.0006813824296819488,-0.0010119132675042181,decreasing,decreasing
Divisadero Mine,1000,mean_savi,40,1984,2025,0.1933423826866985,0.3486725154974161,0.1553301328107176,80.33941169661811,0.0028694884724476174,0.0030639972766372653,increasing,increasing
Divisadero Mine,1000,mean_bsi,40,1984,2025,0.16259335021039442,0.0003950563086804648,-0.16219829390171395,-99.75702800380873,-0.0025915118210636037,-0.0027852098328515996,decreasing,decreasing
Divisadero Mine,1000,bare_pct,40,1984,2025,0.0,0.0,0.0,,0.0,0.0,flat,flat
Divisadero Mine,1000,mining_soil_pct,40,1984,2025,0.0,0.0,0.0,,0.0,0.0,flat,flat
Divisadero Mine,1000,non_mining_soil_pct,40,1984,2025,99.60863634654541,99.60863634654541,0.0,0.0,0.04675527096208834,0.0,increasing,flat
Divisadero Mine,1000,valid_px_pct,40,1984,2025,99.60863634654541,99.60863634654541,0.0,0.0,0.04675527096208834,0.0,increasing,flat
Divisadero Mine,2000,mean_ndvi,40,1984,2025,0.3002499671163468,0.6346187202718764,0.33436875315552955,111.36346037498872,0.005738403406392636,0.006031150761641138,increasing,increasing
Divisadero Mine,2000,mean_ndmi,40,1984,2025,-0.09706068125111207,0.07537853391785054,0.1724392151689626,177.66124546646626,0.0031378778398018473,0.003230760174615789,increasing,increasing
Divisadero Mine,2000,mean_ndbi,40,1984,2025,0.09706068125111207,-0.07537853391785054,-0.1724392151689626,-177.66124546646626,-0.0031378778398018473,-0.003230760174615789,decreasing,decreasing
Divisadero Mine,2000,mean_ndti,40,1984,2025,0.13514130134832167,0.014563285096760869,-0.1205780162515608,-89.22366075251522,-0.0010163357804021185,-0.0012648564392614726,decreasing,decreasing
Divisadero Mine,2000,mean_savi,40,1984,2025,0.19846572899064835,0.3533793716145428,0.15491364262389445,78.05561363755349,0.003007268552350866,0.0031836703908484994,increasing,increasing
Divisadero Mine,2000,mean_bsi,40,1984,2025,0.15497014238232362,-0.018989406099313773,-0.1739595484816374,-112.2535901480076,-0.002821929125723949,-0.003060551533044431,decreasing,decreasing
Divisadero Mine,2000,bare_pct,40,1984,2025,0.0,0.028014622527816977,0.028014622527816977,,-0.00012639114504405964,0.0,decreasing,flat
Divisadero Mine,2000,mining_soil_pct,40,1984,2025,0.0,0.028014622527816977,0.028014622527816977,,-0.00012639114504405964,0.0,decreasing,flat
Divisadero Mine,2000,non_mining_soil_pct,40,1984,2025,99.62082939226666,99.59281476973884,-0.028014622527820165,-0.028121250042508556,0.0631922417478548,0.0,increasing,flat
Divisadero Mine,2000,valid_px_pct,40,1984,2025,99.62082939226666,99.62082939226666,0.0,0.0,0.06306585060281084,0.0,increasing,flat
El Porvenir,1000,mean_ndvi,40,1984,2025,0.2990696462967158,0.6200354752046656,0.32096582890794984,107.32143261021889,0.006311135487034351,0.006345350007275694,increasing,increasing
El Porvenir,1000,mean_ndmi,40,1984,2025,-0.05731355535781404,0.11150813615176171,0.16882169150957574,294.55805080596673,0.0030474987653143597,0.0030456357395385477,increasing,increasing
El Porvenir,1000,mean_ndbi,40,1984,2025,0.05731355535781404,-0.11150813615176171,-0.16882169150957574,-294.55805080596673,-0.0030474987653143597,-0.0030456357395385477,decreasing,decreasing
El Porvenir,1000,mean_ndti,40,1984,2025,0.14297825585996196,0.0368273311293765,-0.10615092473058546,-74.24270501281921,-0.0008217976257806185,-0.0007241869197480772,decreasing,decreasing
El Porvenir,1000,mean_savi,40,1984,2025,0.20672788430094202,0.35312491977844396,0.14639703547750194,70.81629842657604,0.0030770212502600784,0.0030833879079826564,increasing,increasing
El Porvenir,1000,mean_bsi,40,1984,2025,0.13513010057811434,-0.04585546369012832,-0.18098556426824267,-133.93430737781534,-0.0029952864309915504,-0.0028929915804067046,decreasing,decreasing
El Porvenir,1000,bare_pct,40,1984,2025,0.0,0.0,0.0,,0.0,0.0,flat,flat
El Porvenir,1000,mining_soil_pct,40,1984,2025,0.0,0.0,0.0,,0.0,0.0,flat,flat
El Porvenir,1000,non_mining_soil_pct,40,1984,2025,99.61579175877188,99.61579175877188,0.0,0.0,0.18402195699536295,0.0,increasing,flat
El Porvenir,1000,valid_px_pct,40,1984,2025,99.61579175877188,99.61579175877188,0.0,0.0,0.18402195699536295,0.0,increasing,flat
El Porvenir,2000,mean_ndvi,40,1984,2025,0.3117806064583235,0.6119703613204854,0.30018975486216193,96.28236928273762,0.0057127265377941005,0.005986455544662991,increasing,increasing
El Porvenir,2000,mean_ndmi,40,1984,2025,-0.05974250039793716,0.10153653363305408,0.16127903403099125,269.9569535200774,0.0027542562002394353,0.002785114297732962,increasing,increasing
