system:index,area_bare_ha,area_sparse_ha,area_total_ha,area_veg_ha,bare_pct,buffer_m,commodities,end_date,image_count,mean_ndvi,median_ndvi,mining_soil_pct,ndvi_sd,non_mining_soil_pct,prod_stage,qa_flag,site_buffer_key,site_id,site_name,site_year_key,start_date,topo_correction_applied,valid_px_pct,year,.geo
5_2_00000000000000000024,7.481439359486103,2.2618273943662643,1241.6242449414253,1227.1918491700703,0.6025526152510856,2000,unknown,2019-05-01,110,0.7872163783074613,0.8400070572507375,0.6025526152510856,0.14280513360572655,99.01978650734523,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2018.0,2018-11-01,false,99.62233912259632,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_1_00000000000000000024,7.655427157878876,0.8699328675866127,310.4060629226991,300.68897748037284,2.4662621231677804,1000,unknown,2020-05-01,113,0.7378772813043538,0.8008068214588545,2.4662621231677804,0.21299251183121048,97.14981321838972,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2019.0,2019-11-01,false,99.61607534155749,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_2_00000000000000000024,7.655427157878876,1.391904391348362,1241.6242449414253,1227.8877843746955,0.6165655341435465,2000,unknown,2020-05-01,113,0.798674904323342,0.847739392299094,0.6165655341435465,0.13993133157320256,99.00577358845277,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2019.0,2019-11-01,false,99.62233912259632,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_1_00000000000000000024,0.17398636788129807,1.9138534367084503,310.4060629226991,307.1264977012486,0.05605121441349751,1000,unknown,2021-05-01,101,0.8012202763283025,0.8454712013094321,0.05605121441349751,0.1259481324690161,99.560024127144,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2020.0,2020-11-01,false,99.61607534155749,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_2_00000000000000000024,0.3479628637433052,2.609810456633568,1241.6242449414253,1233.9773426035458,0.02802481226997308,2000,unknown,2021-05-01,101,0.8293140565455688,0.8652175116317845,0.02802481226997308,0.10722347624229789,99.59431431032635,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2020.0,2020-11-01,false,99.62233912259632,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_1_00000000000000000024,7.65542533993721,0.8699340149760246,310.4060629226991,300.6889781509251,2.466261537502137,1000,unknown,2022-05-01,143,0.7734524626603534,0.8318521985213896,2.466261537502137,0.18614078589632524,97.14981380405536,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2021.0,2021-11-01,false,99.61607534155749,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_2_00000000000000000024,7.65542533993721,1.7709130818937338,1241.6242449414253,1227.5087775020918,0.6165653877271349,2000,unknown,2022-05-01,143,0.8174235086055233,0.8557069105662949,0.6165653877271349,0.128717279648491,99.00577373486918,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2021.0,2021-11-01,false,99.62233912259632,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_1_00000000000000000024,8.17738452553749,0.1739867478609085,310.4060629226991,300.86296623243993,2.634415207145589,1000,unknown,2023-05-01,152,0.773299790597751,0.8321757643366896,2.634415207145589,0.17287388564660183,96.98166013441192,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2022.0,2022-11-01,false,99.61607534155749,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_2_00000000000000000024,8.264372773468494,1.0749578799102821,1241.6242449414253,1227.5957852705437,0.6656098096617284,2000,unknown,2023-05-01,152,0.8142993920427775,0.8556729278504145,0.6656098096617284,0.12544906278200865,98.95672931293457,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2022.0,2022-11-01,false,99.62233912259632,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_1_00000000000000000024,8.090393215417862,0.7829392552375793,310.4060629226991,300.3410050351829,2.606390203606501,1000,unknown,2024-05-01,126,0.7944324654771354,0.8476671849674919,2.606390203606501,0.19082077710054868,97.009685137951,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2023.0,2023-11-01,false,99.61607534155749,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_2_00000000000000000024,8.351373948156834,2.0158459830517863,1241.6242449414253,1226.567895992714,0.6726168550736391,2000,unknown,2024-05-01,126,0.8252376458427738,0.8634784067263284,0.6726168550736391,0.13043129320596042,98.94972226752267,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2023.0,2023-11-01,false,99.62233912259632,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_1_00000000000000000024,8.17738414555788,0.6959470808506012,310.4060629226991,300.34100627942985,2.6344150847318684,1000,unknown,2025-05-01,98,0.7685865490915732,0.824349135743732,2.6344150847318684,0.1786512725202386,96.98166025682563,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2024.0,2024-11-01,false,99.61607534155749,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_2_00000000000000000024,8.264372296631336,2.292840297052673,1241.6242449414253,1226.3779033302387,0.6656097712574238,2000,unknown,2025-05-01,98,0.8001163791483127,0.8399906536029189,0.6656097712574238,0.1288525803286611,98.9567293513389,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2024.0,2024-11-01,false,99.62233912259632,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_1_00000000000000000024,8.351371176540852,0.43496720492839813,310.4060629226991,300.4279991243691,2.6904665127693095,1000,unknown,2026-05-01,57,0.8068383118277513,0.8633054484464594,2.6904665127693095,0.20449195176903676,96.92560882878819,unknown,ok,Laguna Alegria_00000000000000000024_1000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2025.0,2025-11-01,false,99.61607534155749,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_2_00000000000000000024,8.525347478687763,1.5099313060734787,1241.6242449414253,1224.5524938803096,0.6866286248372956,2000,unknown,2026-05-01,57,0.8384416908789998,0.8790694715185408,0.6866286248372956,0.1363142270625266,98.74665625945663,unknown,ok,Laguna Alegria_00000000000000000024_2000,Laguna Alegria_00000000000000000024,Laguna Alegria,Laguna Alegria_00000000000000000024_2025.0,2025-11-01,false,99.4332848842939,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
