system:index,area_bare_ha,area_sparse_ha,area_total_ha,area_veg_ha,bare_pct,buffer_m,commodities,end_date,image_count,mean_bsi,mean_ndbi,mean_ndmi,mean_ndti,mean_ndvi,mean_savi,median_ndvi,mining_soil_pct,ndvi_sd,non_mining_soil_pct,prod_stage,qa_flag,site_buffer_key,site_id,site_name,site_year_key,start_date,topo_correction_applied,valid_px_pct,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001f,0.0,0.0,1241.6242449414217,1236.9372219244644,0.0,2000,unknown,1986-05-01,8,0.083733493506514,0.01964728235492008,-0.01964728235492008,0.09180216343883536,0.4367895770110104,0.2492451501125991,0.43592096974949107,0.0,0.08228603674907095,99.62250873917347,unknown,ok,Monte Mayor Mine_0000000000000000001f_2000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1985.0,1985-11-01,false,99.62250873917347,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_00000000000000000023,1.7384248971939087,10.08285939693451,1241.6242449414221,1225.0816123636328,0.14001215780672235,2000,unknown,1986-05-01,8,0.12200677592574372,0.05189108506633309,-0.05189108506633309,0.12438339116335498,0.3489513875580621,0.21813357229949448,0.34199197289757494,0.14001215780672235,0.07233700575168416,99.47973203590594,unknown,ok,El Porvenir_00000000000000000023_2000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1985.0,1985-11-01,false,99.61974419371263,1985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001d,0.0,0.0,310.40606292270024,309.1912464143014,0.0,1000,unknown,1987-05-01,8,0.14662754076178214,0.10721800673572254,-0.10721800673572254,0.09770171604763998,0.397355801542984,0.22634364350789385,0.389479127673388,0.0,0.06942441235177332,99.60863634654541,unknown,ok,Divisadero Mine_0000000000000000001d_1000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1986.0,1986-11-01,false,99.60863634654541,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001f,0.0,0.0,310.4060629226929,309.1930664885276,0.0,1000,unknown,1987-05-01,8,0.04046083206258781,-0.028819802798080735,0.028819802798080735,0.07940190696876981,0.4947883038670099,0.2869082164789596,0.4950356500889637,0.0,0.07480911003943373,99.60922269921403,unknown,ok,Monte Mayor Mine_0000000000000000001f_1000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1986.0,1986-11-01,false,99.60922269921403,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_00000000000000000023,0.0,0.0,310.40606292269405,309.2134572476733,0.0,1000,unknown,1987-05-01,8,0.11800839758378716,0.04542070152962047,-0.04542070152962047,0.12383520634371029,0.34848999775405964,0.22303278062576154,0.33710777031284556,0.0,0.06955276743559102,99.61579175877188,unknown,ok,El Porvenir_00000000000000000023_1000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1986.0,1986-11-01,false,99.61579175877188,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001d,0.0,0.0,1241.6242449413928,1236.916370746084,0.0,2000,unknown,1987-05-01,8,0.13207347199756092,0.09206039316829417,-0.09206039316829417,0.08813137038175717,0.40473144928453725,0.22818044528717982,0.3932961281651567,0.0,0.08465878907150552,99.62082939226666,unknown,ok,Divisadero Mine_0000000000000000001d_2000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1986.0,1986-11-01,false,99.62082939226666,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_0000000000000000001f,0.0,0.0,1241.6242449414217,1236.9372219244644,0.0,2000,unknown,1987-05-01,8,0.05344304551378813,-0.013229249098650694,0.013229249098650694,0.08171056010481227,0.4871047626433514,0.28147952979980556,0.4862999995081091,0.0,0.0859414946552789,99.62250873917347,unknown,ok,Monte Mayor Mine_0000000000000000001f_2000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1986.0,1986-11-01,false,99.62250873917347,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_2_00000000000000000023,1.043055534362793,8.69215178489685,1241.6242449414221,1227.1676893385015,0.08400734268941427,2000,unknown,1987-05-01,8,0.11188662658368634,0.04321627077648927,-0.04321627077648927,0.11490709967133779,0.3628009945177025,0.22396014241627382,0.3533283584565884,0.08400734268941427,0.07638338406393272,99.53573685102326,unknown,ok,El Porvenir_00000000000000000023_2000,El Porvenir_00000000000000000023,El Porvenir,El Porvenir_00000000000000000023_1986.0,1986-11-01,false,99.61974419371263,1986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001d,0.0,0.34782788157463074,310.40606292270024,308.8434185327268,0.0,1000,unknown,1990-05-01,9,0.1326263429946829,0.0825000386947891,-0.0825000386947891,0.10321711190578485,0.3550110224517399,0.221574934018037,0.3466410273774059,0.0,0.06657952167873345,99.60863634654541,unknown,ok,Divisadero Mine_0000000000000000001d_1000,Divisadero Mine_0000000000000000001d,Divisadero Mine,Divisadero Mine_0000000000000000001d_1989.0,1989-11-01,false,99.60863634654541,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_1_0000000000000000001f,0.0,0.0,310.4060629226929,309.1930664885276,0.0,1000,unknown,1990-05-01,9,0.06156033448165253,-0.0061528110099163735,0.0061528110099163735,0.07993976711861658,0.4550308029447417,0.27081320609738874,0.4560449442500669,0.0,0.0658975739556288,99.60922269921403,unknown,ok,Monte Mayor Mine_0000000000000000001f_1000,Monte Mayor Mine_0000000000000000001f,Monte Mayor Mine,Monte Mayor Mine_0000000000000000001f_1989.0,1989-11-01,false,99.60922269921403,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
