X,Y,Z,Name,description,timestamp,begin,end
-89.31673,14.36754,0,Occurrence At Canas Dulces,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057201"">10057201</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td>Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Sulfur-Pyrite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.46617,14.10644,0,Cerro El Cobano,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057202"">10057202</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.16783,14.33865,0,San Ignacio,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057203"">10057203</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.10642,13.70007,0,San Francisco Gotera,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057204"">10057204</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.09641,13.66757,0,El Triunfo,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057205"">10057205</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.19447,13.53285,0,Agua Zarca,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057206"">10057206</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.01199,13.63174,0,Cerro El Carmen,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057207"">10057207</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-88.89811,13.72701,0,El Carmen,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057208"">10057208</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.00755,13.72701,0,Cerro Buena Vista,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057209"">10057209</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
-89.14533,13.7409,0,Venecia,"<p>Record <a href=""https://mrdata.usgs.gov/mrds/show.php?labno=10057210"">10057210</a></p><p>Data source: <a href=""https://mrdata.usgs.gov/mrds/"">Mineral Resources Data System</a></p><table border='1' padding='3' cellspacing='0'><tr valign='top'><th align='right' bgcolor='#ddffee'>oper_type</th><td>Unknown</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>dev_stat</th><td>Occurrence</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>ore</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>model</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod1</th><td>Perlite</td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod2</th><td></td></tr><tr valign='top'><th align='right' bgcolor='#ddffee'>commod3</th><td></td></tr></table>",,,
